学名,科,属,体重g,頭胴長mm,新生児体重g,集団サイズ,妊娠期間日,離乳日齢,初産日齢,出産間隔日,一腹産子数,最長寿命月,行動圏km2,個体群密度,分布域km2,栄養段階,生息環境幅,平均気温C,月降水量mm
Saguinus inustus,オマキザル科,Saguinus,803.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,266932.81,-999,1.0,24.9,246.37
Saguinus labiatus,オマキザル科,Saguinus,508.46,-999.0,40.67,5.25,144.16,-999.0,-999.0,299.3,1.84,-999.0,0.19,14.08,253794.53,-999,1.0,25.7,168.04
Saguinus leucopus,オマキザル科,Saguinus,456.68,239.99,43.76,7.5,142.5,-999.0,-999.0,-999.0,2.0,-999.0,-999.0,10.57,38875.35,2,1.0,23.1,143.66
Saguinus martinsi,オマキザル科,Saguinus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,9116.87,-999,-999.0,26.0,133.29
Saguinus melanoleucus,オマキザル科,Saguinus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,47371.93,-999,-999.0,24.8,183.93
Saguinus midas,オマキザル科,Saguinus,540.56,264.21,39.78,5.55,138.24,69.6,730.0,206.83,2.02,184.8,0.05,10.98,1524401.32,2,1.0,25.3,160.68
Saguinus mystax,オマキザル科,Saguinus,555.87,-999.0,46.65,5.4,148.28,-999.0,-999.0,168.5,1.93,-999.0,0.21,30.98,557860.63,2,1.0,25.6,194.85
Saguinus niger,オマキザル科,Saguinus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,295763.89,-999,-999.0,24.9,173.23
Saguinus nigricollis,オマキザル科,Saguinus,450.0,-999.0,43.58,6.3,-999.0,82.53,850.45,-999.0,1.82,182.4,0.25,13.33,63703.04,-999,1.0,26.1,256.15
Saguinus oedipus,オマキザル科,Saguinus,462.04,239.99,41.0,7.05,166.49,49.85,942.91,233.06,1.9,277.2,0.06,45.52,51020.84,2,1.0,26.3,120.29
Saguinus pileatus,オマキザル科,Saguinus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,82904.59,-999,-999.0,26.1,172.5
Saguinus tripartitus,オマキザル科,Saguinus,385.05,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12544.34,-999,1.0,26.5,331.24
Saimiri boliviensis,オマキザル科,Saimiri,799.45,309.99,-999.0,60.0,157.79,-999.0,-999.0,-999.0,1.02,-999.0,-999.0,28.7,1686507.84,-999,-999.0,24.3,171.5
Saimiri oerstedii,オマキザル科,Saimiri,714.18,282.22,-999.0,25.1,161.0,362.93,-999.0,-999.0,1.01,-999.0,0.1,128.8,6892.87,2,1.0,26.6,228.0
Saimiri sciureus,オマキザル科,Saimiri,749.47,322.0,107.5,34.85,164.09,177.41,1073.25,383.25,1.0,324.0,0.68,36.09,3166418.25,2,1.0,25.3,186.86
Saimiri ustus,オマキザル科,Saimiri,886.47,309.99,-999.0,-999.0,-999.0,238.64,-999.0,-999.0,1.02,-999.0,-999.0,-999.0,1699438.17,-999,1.0,24.9,168.78
Saimiri vanzolinii,オマキザル科,Saimiri,783.77,-999.0,-999.0,40.0,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,-999.0,-999.0,7011.35,-999,-999.0,25.8,231.87
Semnopithecus ajax,オナガザル科,Semnopithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,68186.13,-999,-999.0,11.2,93.6
Semnopithecus dussumieri,オナガザル科,Semnopithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,410033.74,-999,-999.0,25.9,106.04
Semnopithecus entellus,オナガザル科,Semnopithecus,12679.29,595.0,499.83,19.0,197.7,402.1,1335.9,507.95,1.02,300.0,1.3,17.28,1516357.53,1,-999.0,25.4,78.82
Semnopithecus hector,オナガザル科,Semnopithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,20231.94,-999,-999.0,15.9,110.6
Semnopithecus hypoleucos,オナガザル科,Semnopithecus,10026.65,655.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,25713.57,-999,-999.0,25.9,191.3
Semnopithecus priam,オナガザル科,Semnopithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,170165.47,-999,-999.0,26.9,107.23
Semnopithecus schistaceus,オナガザル科,Semnopithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,39835.34,-999,-999.0,-2.7,161.15
Simias concolor,オナガザル科,Simias,7393.9,499.99,-999.0,2.75,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,0.1,10.9,6044.85,1,2.0,25.9,340.0
Symphalangus syndactylus,テナガザル科,Symphalangus,10839.0,824.99,517.0,3.8,230.66,635.38,3255.8,1003.75,1.02,456.0,0.22,4.99,113063.05,2,-999.0,24.2,226.72
Tarsius bancanus,メガネザル科,Tarsius,114.39,106.59,23.93,1.0,125.84,78.55,919.8,240.29,1.0,144.0,0.01,62.24,848019.79,2,1.0,24.7,256.39
Tarsius dentatus,メガネザル科,Tarsius,110.42,117.5,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,1.01,-999.0,0.003855591,129.0,5028.57,-999,-999.0,18.6,205.99
Tarsius pelengensis,メガネザル科,Tarsius,165.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,-999.0,-999.0,2364.95,-999,-999.0,24.0,245.0
Tarsius pumilus,メガネザル科,Tarsius,-999.0,100.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,1.01,-999.0,-999.0,-999.0,111.58,-999,-999.0,20.2,222.32
Tarsius sangirensis,メガネザル科,Tarsius,165.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,-999.0,-999.0,560.08,-999,-999.0,-999.0,-999.0
Tarsius syrichta,メガネザル科,Tarsius,115.91,117.74,25.6,1.0,177.99,82.49,1204.5,-999.0,1.01,180.0,0.007129928,-999.0,121292.03,1,-999.0,24.1,183.1
Tarsius tarsier,メガネザル科,Tarsius,168.04,120.21,23.99,3.25,181.69,67.61,518.3,262.4,1.0,144.0,0.02,200.0,170743.47,2,-999.0,21.5,229.41
Theropithecus gelada,オナガザル科,Theropithecus,15964.11,620.0,464.92,10.0,178.64,494.95,1505.62,766.5,1.01,336.0,1.16,51.42,153882.5,1,-999.0,17.3,92.49
Trachypithecus auratus,オナガザル科,Trachypithecus,9719.6,-999.0,-999.0,11.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.03,41.99,136882.26,-999,-999.0,24.4,201.2
Trachypithecus barbei,オナガザル科,Trachypithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4080.83,-999,-999.0,23.3,372.07
Trachypithecus cristatus,オナガザル科,Trachypithecus,7176.81,-999.0,-999.0,27.4,-999.0,362.93,1460.0,-999.0,1.01,373.2,0.12,36.63,827350.53,-999,-999.0,25.0,242.86
Trachypithecus delacouri,オナガザル科,Trachypithecus,-999.0,577.49,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.5,-999.0,-999.0,-999.0,33489.77,1,-999.0,21.2,131.41
Trachypithecus ebenus,オナガザル科,Trachypithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,715.41,-999,-999.0,21.6,165.26
Trachypithecus francoisi,オナガザル科,Trachypithecus,8139.93,599.99,454.56,-999.0,-999.0,391.76,1460.0,-999.0,-999.0,-999.0,-999.0,-999.0,313031.71,1,-999.0,18.8,123.18
Trachypithecus geei,オナガザル科,Trachypithecus,8356.0,605.0,-999.0,11.0,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,2.22,2.6,10913.89,-999,-999.0,17.6,147.91
Trachypithecus germaini,オナガザル科,Trachypithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,544016.79,-999,-999.0,25.3,176.62
Trachypithecus hatinhensis,オナガザル科,Trachypithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,30579.77,-999,-999.0,21.8,171.41
Trachypithecus johnii,オナガザル科,Trachypithecus,10595.08,553.17,-999.0,10.0,-999.0,-999.0,-999.0,-999.0,1.02,-999.0,0.08,71.0,15101.08,1,-999.0,25.7,128.04
Trachypithecus laotum,オナガザル科,Trachypithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,3111.96,-999,-999.0,22.6,169.2
Trachypithecus obscurus,オナガザル科,Trachypithecus,7247.88,549.99,339.18,10.0,146.63,362.93,1460.0,-999.0,1.01,300.0,0.18,57.0,209688.4,1,-999.0,25.5,201.98
Trachypithecus phayrei,オナガザル科,Trachypithecus,7681.72,-999.0,-999.0,12.9,180.61,305.87,-999.0,456.25,1.0,-999.0,0.17,0.6,1313008.67,-999,-999.0,21.3,145.87
Trachypithecus pileatus,オナガザル科,Trachypithecus,11219.93,575.0,-999.0,8.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.22,81.49,453900.78,-999,-999.0,20.3,190.31
Trachypithecus poliocephalus,オナガザル科,Trachypithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2402.32,-999,-999.0,21.2,155.82
Trachypithecus shortridgei,オナガザル科,Trachypithecus,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,80950.94,-999,-999.0,11.0,153.88
Trachypithecus vetulus,オナガザル科,Trachypithecus,7205.08,584.99,359.99,8.35,204.72,245.78,1460.0,783.83,1.01,276.0,0.02,144.65,52878.45,1,-999.0,25.8,143.41
Varecia rubra,キツネザル科,Varecia,3872.6,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,6367.02,-999,-999.0,22.3,176.31
Varecia variegata,キツネザル科,Varecia,3849.99,547.35,93.69,2.8,102.5,90.73,700.8,365.0,2.16,384.0,1.39,27.83,60508.59,1,2.0,19.9,188.58
