学名,科,属,体重g,頭胴長mm,新生児体重g,集団サイズ,妊娠期間日,離乳日齢,初産日齢,出産間隔日,一腹産子数,最長寿命月,行動圏km2,個体群密度,分布域km2,栄養段階,生息環境幅,平均気温C,月降水量mm
Erythrocebus patas,オナガザル科,Erythrocebus,7966.3,665.0,621.67,28.0,167.2,211.79,1079.79,365.0,1.01,286.8,28.24,0.26,6948334.33,2,-999.0,26.4,73.39
Eulemur albifrons,キツネザル科,Eulemur,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,35602.37,-999,-999.0,20.2,168.69
Eulemur albocollaris,キツネザル科,Eulemur,2397.37,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1864.78,-999,-999.0,21.7,187.78
Eulemur cinereiceps,キツネザル科,Eulemur,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,103.56,-999,-999.0,24.1,114.0
Eulemur collaris,キツネザル科,Eulemur,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,12809.32,-999,-999.0,20.2,155.37
Eulemur coronatus,キツネザル科,Eulemur,1699.85,352.27,57.81,6.95,124.04,-999.0,-999.0,-999.0,1.53,220.8,0.05,101.98,5720.16,2,2.0,23.8,105.09
Eulemur fulvus,キツネザル科,Eulemur,2376.99,469.62,74.99,9.15,120.83,134.64,970.9,547.5,1.1,444.0,0.05,221.0,25656.44,1,1.0,21.4,156.13
Eulemur macaco,キツネザル科,Eulemur,2470.43,397.11,60.5,9.2,127.49,143.28,868.7,365.0,1.04,360.0,0.03,53.85,8406.83,2,1.0,22.3,134.19
Eulemur mongoz,キツネザル科,Eulemur,1771.13,354.85,59.48,2.7,129.0,151.13,916.15,-999.0,1.11,360.0,0.05,346.7,7006.3,2,1.0,26.2,125.88
Eulemur rubriventer,キツネザル科,Eulemur,2015.4,404.72,84.97,3.3,126.99,151.22,-999.0,-999.0,1.01,-999.0,0.13,30.0,56908.42,2,1.0,19.4,178.11
Eulemur rufus,キツネザル科,Eulemur,2394.62,457.01,-999.0,9.5,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,71558.47,-999,-999.0,22.8,106.88
Eulemur sanfordi,キツネザル科,Eulemur,2394.03,-999.0,-999.0,7.7,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4197.82,-999,-999.0,25.2,101.31
Euoticus elegantulus,ガラゴ科,Euoticus,295.48,300.0,-999.0,1.0,133.45,-999.0,-999.0,-999.0,0.99,180.0,-999.0,16.47,901808.78,2,-999.0,24.4,149.71
Euoticus pallidus,ガラゴ科,Euoticus,277.37,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,117645.33,-999,-999.0,24.2,192.29
Galago alleni,ガラゴ科,Galago,266.03,200.0,23.93,6.0,133.0,-999.0,341.27,365.0,1.29,144.0,0.18,16.47,1953.16,1,2.0,-999.0,-999.0
Galago cameronensis,ガラゴ科,Galago,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,107495.03,-999,-999.0,24.9,214.64
Galago demidoff,ガラゴ科,Galago,66.04,120.0,9.89,5.5,111.0,43.47,359.52,365.0,1.29,168.0,0.01,57.57,4292912.28,2,-999.0,24.4,140.43
Galago gabonensis,ガラゴ科,Galago,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,465080.61,-999,-999.0,24.3,157.01
Galago gallarum,ガラゴ科,Galago,250.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,798526.55,-999,-999.0,23.8,42.54
Galago granti,ガラゴ科,Galago,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,586401.64,-999,-999.0,24.0,88.48
Galago matschiei,ガラゴ科,Galago,211.61,160.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,0.99,-999.0,-999.0,-999.0,184700.23,-999,-999.0,21.5,116.5
Galago moholi,ガラゴ科,Galago,191.96,-999.0,11.73,1.0,122.29,90.46,259.15,182.5,1.6,198.0,0.04,172.04,5183682.21,1,-999.0,21.7,80.12
Galago nyasae,ガラゴ科,Galago,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,74222.64,-999,-999.0,23.3,85.56
Galago orinus,ガラゴ科,Galago,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,69256.66,-999,-999.0,22.7,71.04
Galago rondoensis,ガラゴ科,Galago,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,11924.95,-999,-999.0,25.0,78.44
Galago senegalensis,ガラゴ科,Galago,215.2,160.0,11.5,3.5,126.98,93.93,511.0,219.0,1.5,204.0,0.08,89.77,8867497.32,2,-999.0,25.0,80.08
Galago thomasi,ガラゴ科,Galago,117.35,-999.0,-999.0,1.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,4366268.46,-999,-999.0,24.0,139.93
Galago zanzibaricus,ガラゴ科,Galago,147.35,-999.0,14.5,1.0,120.0,59.27,365.0,182.5,1.29,-999.0,0.01,169.0,1375379.35,2,-999.0,24.0,76.0
Gorilla beringei,ヒト科,Gorilla,149325.19,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,107960.27,-999,-999.0,20.6,122.55
Gorilla gorilla,ヒト科,Gorilla,112588.99,1594.44,2095.89,6.0,257.0,920.35,3650.0,1430.8,1.05,648.0,4.03,0.59,625702.71,2,1.0,24.2,152.88
Hapalemur alaotrensis,キツネザル科,Hapalemur,1616.83,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,214.53,-999,-999.0,19.2,207.35
Hapalemur aureus,キツネザル科,Hapalemur,1562.41,305.08,-999.0,3.0,142.5,-999.0,-999.0,365.0,1.01,-999.0,0.21,-999.0,9313.01,1,2.0,18.5,165.45
Hapalemur griseus,キツネザル科,Hapalemur,916.0,335.0,45.2,3.1,141.24,136.29,996.45,334.58,1.5,205.2,0.01,62.0,89049.73,1,3.0,19.7,177.28
